,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
24,1,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],1,-1,,7cf6fe57ada15f58d1b8b141dd9e5646,False,False,False,False,slyldj,people,http://www.zhihu.com/api/v4/people/7cf6fe57ada15f58d1b8b141dd9e5646,slyldj,people
25,11,0,https://pic3.zhimg.com/c2ab6bc92_is.jpg,https://pic3.zhimg.com/c2ab6bc92_{size}.jpg,[],107,1,????,12ee4141e570d1cd57b5f0e2399e0cec,False,False,False,False,???????,people,http://www.zhihu.com/api/v4/people/12ee4141e570d1cd57b5f0e2399e0cec,yangshizi,people
26,4,0,https://pic4.zhimg.com/37a8baf53_is.jpg,https://pic4.zhimg.com/37a8baf53_{size}.jpg,[],40,1,?????????,abe8304b6f086eb618df783ce4b2fe67,False,False,False,False,????,people,http://www.zhihu.com/api/v4/people/abe8304b6f086eb618df783ce4b2fe67,lxz86,people
27,0,0,https://pic1.zhimg.com/v2-e4289f593afd92f4c8d7505b7b606f78_is.jpg,https://pic1.zhimg.com/v2-e4289f593afd92f4c8d7505b7b606f78_{size}.jpg,[],2,0,??,2ae27c321cb4c24238d354159dd174d0,False,False,False,False,????,people,http://www.zhihu.com/api/v4/people/2ae27c321cb4c24238d354159dd174d0,wang-xue-yang-79,people
28,1,0,https://pic2.zhimg.com/v2-b286ebce1036f0d40916b79035a4b00d_is.jpg,https://pic2.zhimg.com/v2-b286ebce1036f0d40916b79035a4b00d_{size}.jpg,[],1,-1,??/???? ????/???? ????/??,55cbf6555f59f75f117cb3b5a4dfe5b4,False,False,False,False,?? ??,people,http://www.zhihu.com/api/v4/people/55cbf6555f59f75f117cb3b5a4dfe5b4,chi-ban-long-zhi-jie-22,people
29,4,0,https://pic1.zhimg.com/v2-db08f2c167d904436ad3a2cff7b22400_is.jpg,https://pic1.zhimg.com/v2-db08f2c167d904436ad3a2cff7b22400_{size}.jpg,[],12,1,????????????????????????????,b314f4de1bcad68561d0faa51e175280,False,False,False,False,Puppy???,people,http://www.zhihu.com/api/v4/people/b314f4de1bcad68561d0faa51e175280,herongwei,people
30,1,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],3,1,,2f219de8b22f9dcc8972788e63524f7d,False,False,False,False,Shumin Wang,people,http://www.zhihu.com/api/v4/people/2f219de8b22f9dcc8972788e63524f7d,shumin-wang,people
31,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,84cc514399e9651b8c27733d4ec3a6b9,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/84cc514399e9651b8c27733d4ec3a6b9,ha-ha-67-99-65,people
32,4,0,https://pic3.zhimg.com/v2-c9505ed3d5d254fded4a00a1a3e84cb6_is.jpg,https://pic3.zhimg.com/v2-c9505ed3d5d254fded4a00a1a3e84cb6_{size}.jpg,[],16,0,????????,882573c920ac0abd1c821150dc731000,False,False,False,False,Inertia,people,http://www.zhihu.com/api/v4/people/882573c920ac0abd1c821150dc731000,zhi-chu-chu,people
33,16,0,https://pic3.zhimg.com/v2-07c1a98b3fdec509ab941cc2a1786b62_is.jpg,https://pic3.zhimg.com/v2-07c1a98b3fdec509ab941cc2a1786b62_{size}.jpg,[],5,1,,cbfbbdd1ecd54b552ad9ce0f8ff0b431,False,False,False,False,laxylee,people,http://www.zhihu.com/api/v4/people/cbfbbdd1ecd54b552ad9ce0f8ff0b431,s-li,people
34,2,0,https://pic1.zhimg.com/v2-1a92b9d11c4e668954f8e2b6c701490c_is.jpg,https://pic1.zhimg.com/v2-1a92b9d11c4e668954f8e2b6c701490c_{size}.jpg,[],0,0,??,1c690ac7600ae40284588758374591c3,False,False,False,False,Archer,people,http://www.zhihu.com/api/v4/people/1c690ac7600ae40284588758374591c3,wang-si-cong-38-52,people
35,9,0,https://pic3.zhimg.com/v2-ca14bae36e16817341201ea517cfb25e_is.jpg,https://pic3.zhimg.com/v2-ca14bae36e16817341201ea517cfb25e_{size}.jpg,[],3,-1,??,1c19f631d85b495d56f5e13c9859e15a,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/1c19f631d85b495d56f5e13c9859e15a,wang-ming-hui-18-6,people
36,14,0,https://pic3.zhimg.com/v2-0c7f27186d866b1a7b1ddd3cc2eaf5e2_is.jpg,https://pic3.zhimg.com/v2-0c7f27186d866b1a7b1ddd3cc2eaf5e2_{size}.jpg,[],4,1,??,bd7c431418326f0ef3ffece297c2900d,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/bd7c431418326f0ef3ffece297c2900d,fang-chuan-78,people
37,0,0,https://pic1.zhimg.com/v2-7c1c305218ddf22cacd1c9eb10644424_is.jpg,https://pic1.zhimg.com/v2-7c1c305218ddf22cacd1c9eb10644424_{size}.jpg,[],6,1,,dc04ad9559ef5cc145287e9eefcd92a7,False,False,False,False,?????,people,http://www.zhihu.com/api/v4/people/dc04ad9559ef5cc145287e9eefcd92a7,fuck1234,people
38,1,0,https://pic4.zhimg.com/797ca293d0eca49688c216c06f95b48f_is.jpg,https://pic4.zhimg.com/797ca293d0eca49688c216c06f95b48f_{size}.jpg,[],1,-1,,f99559f87e541a648997c643a3c1f012,False,False,False,False,RZYRZY,people,http://www.zhihu.com/api/v4/people/f99559f87e541a648997c643a3c1f012,ren-zhi-yi-56,people
39,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],4,0,,4de59b742cfac4a857627f728f8a9b20,False,False,False,False,Crystal Xia,people,http://www.zhihu.com/api/v4/people/4de59b742cfac4a857627f728f8a9b20,xia-yu-83-4-96,people
40,24,0,https://pic1.zhimg.com/v2-4a98811302e7b6039164cccc0f1d1928_is.jpg,https://pic1.zhimg.com/v2-4a98811302e7b6039164cccc0f1d1928_{size}.jpg,[],241,1,?????????,ac4e4bb997ff78bbe7a26b66827b6d28,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/ac4e4bb997ff78bbe7a26b66827b6d28,bu-zhi-dao-35-64,people
41,0,0,https://pic3.zhimg.com/v2-9d655e2980f957d60ed428b9e709baf2_is.jpg,https://pic3.zhimg.com/v2-9d655e2980f957d60ed428b9e709baf2_{size}.jpg,[],3,1,,d6e9b10df21f1fedc5dd308bf381c3ba,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/d6e9b10df21f1fedc5dd308bf381c3ba,liu-xiao-xiao-63-82,people
42,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,????,5b4b32178f433d5f24fd0ccaafc18fc9,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/5b4b32178f433d5f24fd0ccaafc18fc9,liu-yuan-heng-92,people
43,6,0,https://pic2.zhimg.com/b98ad000d15aaebcfa857229adc0a455_is.jpg,https://pic2.zhimg.com/b98ad000d15aaebcfa857229adc0a455_{size}.jpg,[],8,1,????,3a43ceac186efb1b9aebfdfb55e53c27,False,False,False,False,KYLE YOUNG,people,http://www.zhihu.com/api/v4/people/3a43ceac186efb1b9aebfdfb55e53c27,kyle-young-22,people
44,16,0,https://pic2.zhimg.com/47c5b7fcb106e51466964705b7d1e551_is.jpg,https://pic2.zhimg.com/47c5b7fcb106e51466964705b7d1e551_{size}.jpg,[],62,1,????????,fd11f9f4e72da47b23ec7431abb32f33,False,False,False,False,waigx,people,http://www.zhihu.com/api/v4/people/fd11f9f4e72da47b23ec7431abb32f33,waigx,people
45,1,0,https://pic3.zhimg.com/v2-fdbb4a8c9b7d3ef2ff28cbd383062bfa_is.jpg,https://pic3.zhimg.com/v2-fdbb4a8c9b7d3ef2ff28cbd383062bfa_{size}.jpg,[],2,1,????,547b2189f406ef2b75d019331fc2b97c,False,False,False,False,deadpool,people,http://www.zhihu.com/api/v4/people/547b2189f406ef2b75d019331fc2b97c,wang-san-shi-66-14,people
46,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,????,2410940d717a0b954938e6c4f6c683b5,False,False,False,False,????,people,http://www.zhihu.com/api/v4/people/2410940d717a0b954938e6c4f6c683b5,xi-ha-ha-ha-10,people
47,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],1,-1,??,3d4aae6ca15cb9676b7a88a3a5d08486,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/3d4aae6ca15cb9676b7a88a3a5d08486,lan-tian-40-29-71,people
48,1,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,27660a53ecac8c264913b0976b748f2d,False,False,False,False,sinx,people,http://www.zhihu.com/api/v4/people/27660a53ecac8c264913b0976b748f2d,sinx-9,people
49,13,0,https://pic4.zhimg.com/aa1e3529e17327f43b9e06153bd8af8f_is.jpg,https://pic4.zhimg.com/aa1e3529e17327f43b9e06153bd8af8f_{size}.jpg,[],17,1,??,c6071f086fb278b4c229d24e0335fe00,False,False,False,False,LarryX,people,http://www.zhihu.com/api/v4/people/c6071f086fb278b4c229d24e0335fe00,larryxfly,people
50,2,0,https://pic1.zhimg.com/fe56a43fe8cad5ea06ba5a06f87cfd80_is.jpg,https://pic1.zhimg.com/fe56a43fe8cad5ea06ba5a06f87cfd80_{size}.jpg,[],0,-1,???????,341bbb422959983d577ba709aee9f6fe,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/341bbb422959983d577ba709aee9f6fe,xian-shi-yuan,people
51,1,0,https://pic4.zhimg.com/v2-d500564e0cbdfa0da06a8125cff13c4f_is.jpg,https://pic4.zhimg.com/v2-d500564e0cbdfa0da06a8125cff13c4f_{size}.jpg,[],1,1,,dd178f431661e8f67e886470f9a2ce1f,False,False,False,False,???????,people,http://www.zhihu.com/api/v4/people/dd178f431661e8f67e886470f9a2ce1f,verypure,people
52,0,0,https://pic4.zhimg.com/v2-df1c6a5bac80e2417f3786ff00677c57_is.jpg,https://pic4.zhimg.com/v2-df1c6a5bac80e2417f3786ff00677c57_{size}.jpg,[],0,-1,,4468f1fc2ba3e0720e25f48cff5ed902,False,False,False,False,furri,people,http://www.zhihu.com/api/v4/people/4468f1fc2ba3e0720e25f48cff5ed902,furipposaido,people
53,2,1,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,????,10662db6aa504eb1d2676ffeeb7fcecf,False,False,False,False,?????,people,http://www.zhihu.com/api/v4/people/10662db6aa504eb1d2676ffeeb7fcecf,ba-qi-de-xiao-zhu,people
54,112,0,https://pic3.zhimg.com/v2-fe792e80bbcf28adc4373dbbeb5954d2_is.jpg,https://pic3.zhimg.com/v2-fe792e80bbcf28adc4373dbbeb5954d2_{size}.jpg,[],27,-1,??????????????,9de5a424830276c5f99057af4e0c36b7,False,False,False,False,????,people,http://www.zhihu.com/api/v4/people/9de5a424830276c5f99057af4e0c36b7,shi-ying-jie-24,people
55,0,0,https://pic3.zhimg.com/v2-1b2217725df0e69da8664c2374cdcb32_is.jpg,https://pic3.zhimg.com/v2-1b2217725df0e69da8664c2374cdcb32_{size}.jpg,[],11,1,????,9215dd338778f609a83611538e61a0c5,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/9215dd338778f609a83611538e61a0c5,zhou-li-da-4,people
56,3,0,https://pic2.zhimg.com/v2-9e92b689b59fcf9ca39d3911aa750a39_is.jpg,https://pic2.zhimg.com/v2-9e92b689b59fcf9ca39d3911aa750a39_{size}.jpg,[],2,-1,?????????????,9b05debc23c17b2180ec16b156158dd6,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/9b05debc23c17b2180ec16b156158dd6,chen-xiao-tian-72-83,people
57,3,0,https://pic3.zhimg.com/v2-355b4020c4f44eda7e3da1e4c685c05a_is.jpg,https://pic3.zhimg.com/v2-355b4020c4f44eda7e3da1e4c685c05a_{size}.jpg,[],2,-1,???????,1c5c6ded8927ba01cc8bd04be06ef677,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/1c5c6ded8927ba01cc8bd04be06ef677,lun-mei-5,people
58,14,0,https://pic2.zhimg.com/ea18da13fc9c77d6765c97ed83ae9c75_is.jpg,https://pic2.zhimg.com/ea18da13fc9c77d6765c97ed83ae9c75_{size}.jpg,[],19,1,We are just prisoners of our own device,8feaa96da008922b46d8350e6298c5fa,False,False,False,False,Nick,people,http://www.zhihu.com/api/v4/people/8feaa96da008922b46d8350e6298c5fa,nick-26-84,people
59,0,0,https://pic3.zhimg.com/v2-a855b9de12b075310538c51ae8a1601a_is.jpg,https://pic3.zhimg.com/v2-a855b9de12b075310538c51ae8a1601a_{size}.jpg,[],0,-1,????,732e8fe53ad0a59c5c17f07bcd65b3b7,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/732e8fe53ad0a59c5c17f07bcd65b3b7,0-0-53-80,people
60,2,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],8,1,Gentoo/GNULinux Emacs C elisp TeX Python PHP Mysql  ,0c15b32a5f1df424bb4503bd4347a7a4,False,False,False,False,Lei Ren,people,http://www.zhihu.com/api/v4/people/0c15b32a5f1df424bb4503bd4347a7a4,lei-ren-77,people
61,0,0,https://pic1.zhimg.com/v2-0cb29ce81d19378e523ae61a48e9081c_is.jpg,https://pic1.zhimg.com/v2-0cb29ce81d19378e523ae61a48e9081c_{size}.jpg,[],1,1,??????,0024bfcdf31c41d6cc6bbcdfc4c1be73,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/0024bfcdf31c41d6cc6bbcdfc4c1be73,yu-li-zi-99,people
62,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],1,-1,??,3e39fc19d5006450cc2414aa84da52b1,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/3e39fc19d5006450cc2414aa84da52b1,du-yin-75,people
63,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,c5fbdd24c08958ab42a5e52c6964ad38,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/c5fbdd24c08958ab42a5e52c6964ad38,lu-ren-jia-87-55,people
64,0,0,https://pic1.zhimg.com/2b0f586f79b7d72fcea0697f66ed2804_is.jpg,https://pic1.zhimg.com/2b0f586f79b7d72fcea0697f66ed2804_{size}.jpg,[],0,1,???????,6216b8b7e35075e2075532179a32ab6d,False,False,False,False,??????,people,http://www.zhihu.com/api/v4/people/6216b8b7e35075e2075532179a32ab6d,hua-ban-a-hua-ban,people
65,34,0,https://pic3.zhimg.com/3e618053e8837af539e9da51d6664d26_is.jpg,https://pic3.zhimg.com/3e618053e8837af539e9da51d6664d26_{size}.jpg,[],108,1,??,78168fa9e59bc58c1fe949c798921c20,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/78168fa9e59bc58c1fe949c798921c20,zheng-jia-an-64,people
66,59,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],100,1,??,90ea2fb1129a4824f488965ca69de54d,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/90ea2fb1129a4824f488965ca69de54d,liu-ran-46-1,people
67,4,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],7,-1,?????????????????????????????,9e721d31ce4df73095e789bbcbf69c09,False,False,False,False,???????,people,http://www.zhihu.com/api/v4/people/9e721d31ce4df73095e789bbcbf69c09,chui-zhao-kou-shao-qu-liu-lang,people
68,0,0,https://pic4.zhimg.com/v2-11cf47c836de2f48207de418fbc44aa3_is.jpg,https://pic4.zhimg.com/v2-11cf47c836de2f48207de418fbc44aa3_{size}.jpg,[],0,1,,c47adba7e48808fefa00224980392ecc,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/c47adba7e48808fefa00224980392ecc,jian-yi-73-15,people
69,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],9,1,??????????,623c9571df9b5ef3960e85bd69ffffd8,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/623c9571df9b5ef3960e85bd69ffffd8,zhang-feng-17-9-41,people
70,2,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],2,-1,,c326b58b25c307adbf574e6608a3d64c,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/c326b58b25c307adbf574e6608a3d64c,fei-qu-lai-93,people
71,15,0,https://pic3.zhimg.com/v2-48dd9dbe49810bdab9e8ca743d58b516_is.jpg,https://pic3.zhimg.com/v2-48dd9dbe49810bdab9e8ca743d58b516_{size}.jpg,[],484,-1,?????   ?????,d55555d15cf474fa4fbe610bbcc19f85,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/d55555d15cf474fa4fbe610bbcc19f85,he-ren-69-40,people
72,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,f4e14027997ce2ba7136a04559171cc4,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/f4e14027997ce2ba7136a04559171cc4,a-lan-duo-4,people
73,19,0,https://pic4.zhimg.com/1d0b6c1538e95b449313fb83148fa0bf_is.jpg,https://pic4.zhimg.com/1d0b6c1538e95b449313fb83148fa0bf_{size}.jpg,[],3,1,?????,1b451e2c1ccffbe9f16b5db3fa7e987a,False,False,False,False,????,people,http://www.zhihu.com/api/v4/people/1b451e2c1ccffbe9f16b5db3fa7e987a,chen-sheng-19-43,people
74,2,0,https://pic3.zhimg.com/73c39a7f6_is.jpg,https://pic3.zhimg.com/73c39a7f6_{size}.jpg,[],2,1,?????????,e6c8c89a95e0d54797a335ea75025dce,False,False,False,False,????,people,http://www.zhihu.com/api/v4/people/e6c8c89a95e0d54797a335ea75025dce,shui-shui-bu-shui,people
75,8,0,https://pic2.zhimg.com/v2-26785913d3d1013bf0ac56fbad927179_is.jpg,https://pic2.zhimg.com/v2-26785913d3d1013bf0ac56fbad927179_{size}.jpg,[],8,-1,????????????/???????Android,ca0451f4fc70c313689bab4392212618,False,False,False,False,yzxf,people,http://www.zhihu.com/api/v4/people/ca0451f4fc70c313689bab4392212618,love-cuo-guo-360,people
76,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,b5587c7914d06054bfb2ec844face1b6,False,False,False,False,Ken Y,people,http://www.zhihu.com/api/v4/people/b5587c7914d06054bfb2ec844face1b6,ken-y-93,people
